class	motif	id	enr	q	tp	fp
Transient	PKNOX2	MA0783.1	1.25	1.74e-06	713	1017
Transient	CREB3	MA0638.2	1.09	1.91e-06	3008	4895
Transient	CUX1	MA0754.3	1.12	1.95e-06	2220	3537
Transient	ZNF35	MA2333.1	1.01	2.2e-06	9157	16082
Transient	LIN54	MA0619.2	1.3	2.85e-06	510	699
Transient	SPIC	MA0687.2	1.07	4.42e-06	4428	7404
Transient	SOX21	MA0866.1	1.43	4.56e-06	287	359
Transient	CREM	MA0609.3	1.2	6.27e-06	919	1367
Transient	FOXO1::ELF1	MA1953.2	1.02	6.48e-06	8764	15328
Transient	Sox11	MA0869.3	1.02	6.55e-06	8584	14984
Transient	CREB3L4	MA1475.2	1.04	7.64e-06	6450	11040
Transient	LBX1	MA0618.2	1.11	9.67e-06	2283	3676
Transient	DUX4	MA0468.1	1.32	1.2e-05	408	552
Transient	NKX2-4	MA2003.2	1.23	1.33e-05	697	1014
Transient	ZSCAN21	MA2336.1	1.04	1.34e-05	6178	10561
Transient	Mecom	MA0029.2	1.12	1.46e-05	1752	2776
Transient	RFX5	MA0510.3	1.22	1.56e-05	737	1081
Transient	TEAD3	MA0808.1	1.16	2.16e-05	1112	1704
Transient	RBPJ	MA1116.2	1.04	2.18e-05	6817	11732
Transient	NR2F1	MA1537.2	1.12	2.3e-05	1825	2909
Transient	IRF5	MA1420.1	1.11	2.33e-05	2110	3397
Transient	RFX1	MA0509.3	1.48	2.87e-05	199	240
Transient	NR2C1	MA1535.2	1.05	3.11e-05	5450	9273
Transient	OLIG2	MA0678.1	1.05	3.48e-05	5134	8711
Transient	SCRT1	MA0743.3	1.02	4.11e-05	8021	13960
Transient	LMX1A	MA0702.3	1.1	5.47e-05	2221	3606
Transient	FOXO6	MA0849.1	1.04	5.47e-05	5805	9925
Transient	NKX2-2	MA1645.2	1.05	6.04e-05	4999	8485
Transient	ZEB1	MA0103.4	1.41	6.44e-05	229	290
Transient	NEUROG2	MA1642.2	1.09	7.11e-05	2319	3781
Transient	CEBPB	MA0466.4	1.85	7.91e-05	80	77
Transient	GATA1::TAL1	MA0140.3	1.27	9.65e-05	419	589
Transient	RXRB	MA0855.1	1.26	0.000145	407	574
Transient	STAT1::STAT2	MA0517.2	1.14	0.000152	1121	1751
Transient	Yy1	MA0095.4	1.04	0.000168	5381	9196
Transient	NKX2-8	MA0673.2	1.16	0.000171	936	1443
Transient	CEBPE	MA0837.3	1.28	0.000229	343	477
Transient	ATF3	MA0605.3	1.45	0.000243	163	200
Transient	RFX3	MA0798.3	1.54	0.000273	125	145
Transient	REST	MA0138.3	3.96	0.000274	19	8
Transient	Stat4	MA0518.2	1.04	0.000292	5440	9318
Transient	TFEB	MA0692.2	1.11	0.00032	1602	2582
Transient	Creb5	MA0840.2	1.35	0.000353	224	295
Transient	HOXD9	MA0913.3	1.08	0.000362	2249	3699
Transient	PPARD	MA1550.2	1.13	0.000384	1098	1729
Transient	BACH2	MA1470.2	1.39	0.000401	188	241
Transient	GRHL1	MA0647.2	1.12	0.000485	1200	1906
Transient	ZNF558	MA2335.1	1.21	0.000493	476	699
Transient	Alx4	MA0853.2	1.09	0.000507	2077	3410
Transient	ESR1	MA0112.4	1.38	0.000522	190	246
Transient	Prdm4	MA1647.3	1.14	0.000662	930	1456
Transient	SCRT2	MA0744.3	1.02	0.000729	7478	13029
Transient	CEBPG	MA0838.1	1.62	0.000753	87	96
Transient	ZNF675	MA1714.2	1.06	0.000804	3318	5587
Transient	Dmbx1	MA0883.2	1.07	0.00157	2532	4231
Transient	OLIG3	MA0827.1	1.26	0.00171	273	386
Transient	ZNF382	MA1594.1	1.13	0.00218	828	1306
Transient	Pparg::Rxra	MA0065.3	1.11	0.00265	1104	1778
Transient	Ptf1A	MA1618.2	1.01	0.00266	8374	14710
Transient	Stat5b	MA1625.2	1.02	0.00307	7671	13423
Transient	BHLHE23	MA0817.2	1.19	0.00314	402	602
Transient	JUNB	MA1140.3	1.18	0.00337	416	626
Transient	Atoh1	MA0461.3	1.37	0.00344	135	176
Transient	ESRRA	MA0592.4	1.17	0.00374	466	710
Transient	MYB	MA0100.4	1.03	0.00393	5003	8625
Transient	NR2C2	MA1536.2	1.02	0.00395	7862	13780
Transient	Foxj2	MA0614.1	1.03	0.00416	4753	8182
Transient	Rxra	MA0512.2	1.13	0.00427	726	1147
Transient	TFEC	MA0871.3	1.08	0.00454	1698	2813
Transient	FIGLA	MA0820.2	1.23	0.00456	275	400
Transient	RXRG	MA0856.1	1.15	0.00469	518	800
Transient	Nr2f6	MA0677.2	1.14	0.00536	598	936
Transient	ZBED1	MA0749.2	1.22	0.00569	274	401
Transient	ZSCAN4	MA1155.1	1.13	0.00574	668	1055
Transient	MYCN	MA0104.5	3.92	0.00659	10	4
Transient	MEF2B	MA0660.1	1.11	0.00704	818	1313
Transient	MYOD1	MA0499.3	1.53	0.00722	65	76
Transient	NR6A1	MA1541.2	1.02	0.00785	6890	12038
Transient	PITX2	MA1547.2	1.05	0.00789	2990	5088
Transient	OSR1	MA1542.2	1.17	0.00821	385	588
Transient	ZNF680	MA1729.2	1.04	0.00828	3969	6818
Transient	HSF1	MA0486.2	1.19	0.00833	323	486
Transient	Nr5A2	MA0505.3	1.11	0.00848	789	1268
Transient Increasing	BACH1	MA1633.2	3.29	5.04e-244	1632	1187
Transient Increasing	Jun	MA0489.3	3.72	1.63e-243	1440	925
Transient Increasing	FOS::JUND	MA1141.2	2.55	5.82e-243	2175	2035
Transient Increasing	FOSL1	MA0477.3	2.84	5.89e-241	1894	1594
Transient Increasing	JUNB	MA0490.3	2.8	7.49e-241	1928	1648
Transient Increasing	BATF::JUN	MA0462.3	2.83	1.16e-234	1857	1567
Transient Increasing	FOSL2::JUNB	MA1138.2	3.92	8.68e-234	1319	803
