feature_id	Naive_WT_REP1	Naive_WT_REP2	D3_WT_REP1	D3_WT_REP2	D5_WT_REP1	D5_WT_REP2	D8_WT_TE_Exp2_REP1	D8_WT_TE_Exp2_REP2	D8_WT_TE_Exp2_REP3
Interval_4957	1	4	46	35	3	3	1	0	0
Interval_5003	350	464	52	27	55	67	13	16	17
Interval_5022	11	17	21	5	9	3	1	0	0
Interval_5033	8	18	83	71	22	19	7	9	8
Interval_5071	2	6	26	22	19	11	2	1	1
Interval_5103	4	14	2	0	3	5	7	7	4
Interval_5119	11	12	57	41	208	163	69	71	87
Interval_5121	6	7	2	2	4	1	3	2	2
Interval_5180	54	84	40	32	32	28	3	6	6
Interval_5218	23	44	23	13	55	56	42	57	46
Interval_5224	1	3	52	33	8	9	0	2	4
Interval_5317	8	1	194	132	43	30	2	1	2
Interval_5344	921	1149	385	249	849	954	588	636	769
Interval_5353	80	108	67	34	27	35	5	4	10
Interval_5361	1171	1425	384	239	999	1027	415	490	655
Interval_5400	69	120	62	47	22	19	4	4	3
Interval_5415	4	7	11	9	6	4	1	1	0
Interval_5453	97	159	57	20	121	110	64	55	88
Interval_5493	107	149	60	47	331	338	340	364	460
Interval_5504	4	4	52	47	52	33	10	11	18
Interval_5510	5	13	96	50	21	23	2	4	8
Interval_5527	52	98	28	20	45	44	29	23	47
Interval_5569	423	638	184	105	476	461	216	210	321
Interval_5579	72	103	22	15	41	51	29	18	36
Interval_5593	209	309	93	61	155	167	123	122	139
Interval_5677	7	11	59	27	184	175	101	100	95
Interval_5707	106	172	14	20	21	31	9	5	10
Interval_5755	39	49	15	11	23	22	11	15	17
Interval_5807	213	294	27	13	15	13	6	8	4
Interval_5835	2	1	19	8	0	1	0	0	0
Interval_5842	3	2	4	4	2	1	1	1	0
Interval_5929	114	172	13	9	177	181	120	153	140
Interval_5994	15	15	37	17	176	162	27	51	39
Interval_6032	7	16	263	174	398	403	167	184	246
Interval_6035	3	7	38	26	72	61	11	10	13
Interval_6039	428	669	272	145	598	645	269	323	447
Interval_6101	19	30	10	9	17	28	11	11	11
Interval_6110	15	22	101	53	171	167	137	160	171
Interval_6135	21	32	13	9	27	38	10	17	9
Interval_6182	3	4	50	37	27	19	4	18	5
Interval_6187	21	28	85	57	345	355	240	257	247
Interval_6189	3	4	54	32	19	21	7	7	3
Interval_6194	464	578	162	94	454	513	210	218	300
Interval_6229	7	14	6	4	15	15	9	11	10
